name,hex,link
Deep Cerise,#da3287,https://en.wikipedia.org/wiki/Cerise_(color)#Deep_cerise
Deep Champagne,#fad6a5,https://en.wikipedia.org/wiki/Champagne_(color)#Deep_champagne
Deep Chestnut,#b94e48,https://en.wikipedia.org/wiki/Chestnut_(color)#Deep_chestnut
Deep Jungle Green,#004b49,https://en.wikipedia.org/wiki/Jungle_green#Deep_jungle_green
Deep Pink,#ff1493,https://en.wikipedia.org/wiki/Shades_of_pink#Deep_pink
Deep Saffron,#ff9933,https://en.wikipedia.org/wiki/Saffron_(color)#India_saffron_or_deep_saffron
Deep Sky Blue,#00bfff,https://en.wikipedia.org/wiki/Sky_blue#Deep_sky_blue
Deep Taupe,#7e5e60,https://en.wikipedia.org/wiki/Taupe#Deep_taupe
Denim,#1560bd,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors
Denim Blue,#2243b6,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_'n_Tails
Desert,#c19a6b,https://en.wikipedia.org/wiki/Desert_sand_(color)#Desert
Desert Sand,#edc9af,https://en.wikipedia.org/wiki/Desert_sand_(color)
Dim Gray,#696969,https://en.wikipedia.org/wiki/Grey#Web_colors
Dodger Blue,#1e90ff,https://en.wikipedia.org/wiki/Dodger_blue
Drab,#967117,https://en.wikipedia.org/wiki/Desert_sand_(color)#Sand_dune_(Drab)
Duke Blue,#00009c,https://en.wikipedia.org/wiki/Duke_blue
Dutch White,#efdfbb,https://en.wikipedia.org/wiki/Shades_of_white#Dutch_white
Ebony,#555d50,https://en.wikipedia.org/wiki/Shades_of_black_(colors)#Ebony
Ecru,#c2b280,https://en.wikipedia.org/wiki/Ecru
Eerie Black,#1b1b1b,https://en.wikipedia.org/wiki/Shades_of_black#Eerie_black
Eggplant,#614051,https://en.wikipedia.org/wiki/Eggplant_(color)
Eggshell,#f0ead6,https://en.wikipedia.org/wiki/Eggshell_(color)
Electric Lime,#ccff00,https://en.wikipedia.org/wiki/Lime_(color)#Electric_lime
Electric Purple,#bf00ff,https://en.wikipedia.org/wiki/Shades_of_purple#Electric_purple:_2000s
Electric Violet,#8f00ff,https://en.wikipedia.org/wiki/Shades_of_violet#Electric_violet
Emerald,#50c878,https://en.wikipedia.org/wiki/Shades_of_green#Emerald
Eminence,#6c3082,https://en.wikipedia.org/wiki/Shades_of_purple#Eminence
English Lavender,#b48395,https://en.wikipedia.org/wiki/Lavender_(color)#English_lavender
English Red,#ab4b52,https://en.wikipedia.org/wiki/Indian_red_(color)#English_red
English Vermillion,#cc474b,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors
English Violet,#563c5c,https://en.wikipedia.org/wiki/Shades_of_violet#English_violet
Erin,#00ff40,https://en.wikipedia.org/wiki/Erin_(color)
Eton Blue,#96c8a2,https://en.wikipedia.org/wiki/Eton_blue#Eton_blue
Fallow,#c19a6b,https://en.wikipedia.org/wiki/Fallow_(color)
Falu Red,#801818,https://en.wikipedia.org/wiki/Falu_red
Fandango,#b53389,https://en.wikipedia.org/wiki/Fuchsia_(color)#Fandango
Fandango Pink,#de5285,https://en.wikipedia.org/wiki/Shades_of_pink#Fandango_pink
Fawn,#e5aa70,https://en.wikipedia.org/wiki/Fawn_(colour)
Fern Green,#4f7942,https://en.wikipedia.org/wiki/Shades_of_green#Fern_green
Field Drab,#6c541e,https://en.wikipedia.org/wiki/Desert_sand_(color)#Field_drab
Fiery Rose,#ff5470,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Extreme_Twistables_colors
Finn,#683068,https://en.wikipedia.org/wiki/Shades_of_magenta#Finn
Fire Engine Red,#ce2029,https://en.wikipedia.org/wiki/Fire_engine_red
Firebrick,#b22222,https://en.wikipedia.org/wiki/X11_color_names#Color_name_charts
Flame,#e25822,https://en.wikipedia.org/wiki/Flame_(color)
Flax,#eedc82,https://en.wikipedia.org/wiki/Flax_(color)
Flirt,#a2006d,https://en.wikipedia.org/wiki/Red-violet#Flirt
Floral White,#fffaf0,https://en.wikipedia.org/wiki/Shades_of_white#Floral_white
Forest Green,#228b22,https://en.wikipedia.org/wiki/Shades_of_green#Forest_green
French Beige,#a67b5b,https://en.wikipedia.org/wiki/Beige#French_beige
French Bistre,#856d4d,https://en.wikipedia.org/wiki/Bistre#French_bistre
French Blue,#0072bb,https://en.wikipedia.org/wiki/Shades_of_azure#French_blue
French Fuchsia,#fd3f92,https://en.wikipedia.org/wiki/Fuchsia_(color)#French_fuchsia
French Lilac,#86608e,https://en.wikipedia.org/wiki/Lilac_(color)#French_lilac
French Lime,#9efd38,https://en.wikipedia.org/wiki/Lime_(color)#French_lime
French Mauve,#d473d4,https://en.wikipedia.org/wiki/Mauve#French_mauve_(deep_mauve)
French Pink,#fd6c9e,https://en.wikipedia.org/wiki/Shades_of_pink#French_pink
French Raspberry,#c72c48,https://en.wikipedia.org/wiki/Raspberry_(color)#French_raspberry
French Sky Blue,#77b5fe,https://en.wikipedia.org/wiki/Sky_blue#French_sky_blue
French Violet,#8806ce,https://en.wikipedia.org/wiki/Shades_of_violet#French_violet
Frostbite,#e936a7,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Extreme_Twistables_colors
Fuchsia,#ff00ff,https://en.wikipedia.org/wiki/Fuchsia_(color)
Fulvous,#e48400,https://en.wikipedia.org/wiki/Fulvous
Fuzzy Wuzzy,#87421f,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors
GO Green,#00ab66,https://en.wikipedia.org/wiki/Shades_of_green#GO_Transit_green
Gainsboro,#dcdcdc,https://en.wikipedia.org/wiki/X11_colour_names#Color_names_identical_between_X11_and_HTML/CSS
Gamboge,#e49b0f,https://en.wikipedia.org/wiki/Gamboge
Generic Viridian,#007f66,https://en.wikipedia.org/wiki/Viridian#Generic_viridian
Ghost White,#f8f8ff,https://en.wikipedia.org/wiki/Shades_of_white#Ghost_white
Glaucous,#6082b6,https://en.wikipedia.org/wiki/Glaucous
Glossy Grape,#ab92b3,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls
Gold,#a57c00,https://en.wikipedia.org/wiki/Gold_(color)#Gold
Gold Fusion,#85754e,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Metallic_FX
Golden Brown,#996515,https://en.wikipedia.org/wiki/Gold_(color)#Golden_brown
Golden Poppy,#fcc200,https://en.wikipedia.org/wiki/Gold_(color)#Golden_poppy
Golden Yellow,#ffdf00,https://en.wikipedia.org/wiki/Gold_(color)#Golden_yellow
Goldenrod,#daa520,https://en.wikipedia.org/wiki/Goldenrod_(color)
Gotham Green,#00573f,https://en.wikipedia.org/wiki/Sea_green
Granite Gray,#676767,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls
Granny Smith Apple,#a8e4a0,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors
Gray,#bebebe,https://en.wikipedia.org/wiki/X11_color_names#Color_names
Green,#00ff00,https://en.wikipedia.org/wiki/Green
Green Lizard,#a7f432,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_'n_Tails
Green Sheen,#6eaea1,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls
Green-Blue,#1164b4,https://en.wikipedia.org/wiki/Blue-green
Green-Cyan,#009966,https://en.wikipedia.org/wiki/Shades_of_cyan
Green-Yellow,#adff2f,https://en.wikipedia.org/wiki/Shades_of_green#Yellow-green
Grenadier,#d34600,https://en.wikipedia.org/wiki/Shades_of_red#Grenadier
Grullo,#a99a86,https://en.wikipedia.org/wiki/Grullo
Gunmetal,#2a3439,https://en.wikipedia.org/wiki/Shades_of_gray#Gunmetal
Han Blue,#446ccf,https://en.wikipedia.org/wiki/Han_blue
